	10.00		12.50		15.00		17.50		20.00		21.50		21.80		22.00		23.00		24.00		25.00		26.00		27.00		28.00		29.00		30.00		31.00		32.00		33.00		34.00		35.00		36.00		37.00		38.00		39.00		40.00		41.00		42.00		43.00		44.00		45.00		46.00		47.00		48.00		49.00		50.00		51.00		52.00		52.50		53.00		55.00		57.50		60.00		62.50		65.00	
640	8.576652	6.345619e+00	4.694942	3.473653e+00	2.570056	2.145045e+00	2.080738	2.033926e+00	1.802379	1.581587e+00	1.380263	1.206584e+00	1.067540	9.628457e-01	0.889307	8.515491e-01	0.892847	1.066339e+00	1.402907	1.862497e+00	2.367668	2.840497e+00	3.203059	3.381691e+00	3.361650	3.171226e+00	2.839686	2.396944e+00	1.902932	1.458556e+00	1.116738	8.621700e-01	0.674804	5.345909e-01	0.423479	3.328407e-01	0.256826	1.895864e-01	0.157429	1.470329e-01	0.088239	4.660921e-02	0.024620	1.300441e-02	0.006869	
699	9.331224	6.909054e+00	5.115623	3.787726e+00	2.804520	2.341782e+00	2.272276	2.221179e+00	1.968435	1.727427e+00	1.507723	1.318425e+00	1.167290	1.053703e+00	0.973699	9.320223e-01	0.976462	1.165731e+00	1.533367	2.034884e+00	2.584876	3.097410e+00	3.486551	3.671168e+00	3.636595	3.416699e+00	3.046458	2.561483e+00	2.027231	1.549801e+00	1.184307	9.136532e-01	0.715726	5.684120e-01	0.451844	3.567599e-01	0.277020	2.064876e-01	0.172756	1.567816e-01	0.094146	4.976647e-02	0.026307	1.390610e-02	0.007351	
757	10.069753	7.461551e+00	5.528908	4.096846e+00	3.035707	2.535981e+00	2.460653	2.405445e+00	2.132397	1.872179e+00	1.635123	1.430775e+00	1.267231	1.143796e+00	1.056256	1.009652e+00	1.054760	1.253910e+00	1.642313	2.172230e+00	2.752521	3.291487e+00	3.697430	3.883864e+00	3.836444	3.593510e+00	3.194602	2.679878e+00	2.118536	1.619245e+00	1.238014	9.565329e-01	0.751325	5.989138e-01	0.478237	3.796299e-01	0.296787	2.234021e-01	0.188286	1.673107e-01	0.100926	5.365458e-02	0.028524	1.516388e-02	0.008061	
815	10.751524	7.977512e+00	5.919226	4.392001e+00	3.258816	2.724572e+00	2.645082	2.585727e+00	2.292240	2.012846e+00	1.758811	1.540364e+00	1.366076	1.234589e+00	1.140570	1.088493e+00	1.131295	1.334172e+00	1.733827	2.280610e+00	2.879761	3.435941e+00	3.853808	4.043465e+00	3.990312	3.734739e+00	3.318390	2.783535e+00	2.201867	1.685048e+00	1.290520	9.992625e-01	0.786943	6.292259e-01	0.504285	4.021252e-01	0.316237	2.401107e-01	0.203675	1.784530e-01	0.108231	5.792758e-02	0.031004	1.659410e-02	0.008882	
873	11.473262	8.520356e+00	6.327448	4.698935e+00	3.489557	2.918991e+00	2.834728	2.771112e+00	2.456615	2.157460e+00	1.885842	1.652678e+00	1.467020	1.326886e+00	1.225881	1.167957e+00	1.208228	1.414748e+00	1.825650	2.389231e+00	3.006950	3.579658e+00	4.008208	4.199149e+00	4.137847	3.867230e+00	3.431537	2.875635e+00	2.273815	1.740313e+00	1.333676	1.034043e+00	0.816099	6.545295e-01	0.526643	4.221187e-01	0.334281	2.564553e-01	0.219211	1.880831e-01	0.114575	6.166168e-02	0.033185	1.785936e-02	0.009611	
932	12.065201	8.983934e+00	6.689575	4.981160e+00	3.709048	3.107576e+00	3.018704	2.951537e+00	2.619401	2.303131e+00	2.015546	1.768597e+00	1.572194	1.423710e+00	1.315499	1.250767e+00	1.286361	1.492714e+00	1.909186	2.482781e+00	3.112437	3.696472e+00	4.133203	4.326785e+00	4.262142	3.983179e+00	3.535149	2.963949e+00	2.345719	1.797660e+00	1.379848	1.071912e+00	0.847889	6.818165e-01	0.550416	4.430782e-01	0.352928	2.730901e-01	0.234890	1.988333e-01	0.121743	6.593872e-02	0.035714	1.934332e-02	0.010477	
990	12.775427	9.517417e+00	7.090270	5.282098e+00	3.935049	3.297891e+00	3.205226	3.133602e+00	2.779622	2.443382e+00	2.138823	1.878056e+00	1.670936	1.514208e+00	1.399364	1.329102e+00	1.361518	1.568765e+00	1.991204	2.574684e+00	3.215865	3.810773e+00	4.255434	4.451837e+00	4.384510	4.098256e+00	3.639249	3.054326e+00	2.421234	1.859690e+00	1.431092	1.114700e+00	0.884067	7.127438e-01	0.577010	4.660069e-01	0.372669	2.899296e-01	0.250327	2.111190e-01	0.130013	7.092737e-02	0.038694	2.110890e-02	0.011516	
1048	13.392487	9.993937e+00	7.457822	5.565285e+00	4.153008	3.484079e+00	3.387243	3.311807e+00	2.939029	2.585100e+00	2.264753	1.990615e+00	1.772888	1.607789e+00	1.485937	1.409584e+00	1.438492	1.647031e+00	2.076732	2.671957e+00	3.326536	3.933648e+00	4.386471	4.584332e+00	4.511640	4.214943e+00	3.742199	3.142031e+00	2.493960	1.919436e+00	1.480650	1.156404e+00	0.919704	7.435542e-01	0.603743	4.891867e-01	0.392668	3.069730e-01	0.265929	2.236393e-01	0.138517	7.611029e-02	0.041820	2.297878e-02	0.012626	
1106	14.060117	1.050334e+01	7.846319	5.861442e+00	4.378678	3.675751e+00	3.575788	3.495984e+00	3.101762	2.728088e+00	2.390818	2.103064e+00	1.875253	1.702648e+00	1.574447	1.492061e+00	1.517290	1.727287e+00	2.165016	2.773158e+00	3.442335	4.062497e+00	4.523595	4.721942e+00	4.641927	4.332254e+00	3.843093	3.225274e+00	2.560425	1.971939e+00	1.522824	1.191219e+00	0.949365	7.695003e-01	0.626735	5.097211e-01	0.411100	3.235148e-01	0.281561	2.343063e-01	0.145748	8.051490e-02	0.044478	2.457102e-02	0.013574	
1165	14.802520	1.106258e+01	8.267560	6.178716e+00	4.617629	3.877320e+00	3.772646	3.688461e+00	3.272581	2.878308e+00	2.522443	2.219184e+00	1.979809	1.798815e+00	1.663985	1.575845e+00	1.597936	1.809844e+00	2.255806	2.876738e+00	3.559958	4.192093e+00	4.659769	4.856221e+00	4.766170	4.441144e+00	3.934192	3.299005e+00	2.619201	2.018928e+00	1.561286	1.223738e+00	0.977800	7.949826e-01	0.649761	5.305770e-01	0.429992	3.405653e-01	0.297712	2.455078e-01	0.153492	8.533142e-02	0.047439	2.637287e-02	0.014662	
1223	15.493645	1.158606e+01	8.663997	6.478890e+00	4.844879	4.069606e+00	3.959617	3.871572e+00	3.436507	3.023529e+00	2.650111	2.331699e+00	2.080664	1.891079e+00	1.749692	1.656404e+00	1.676154	1.890473e+00	2.344691	2.978035e+00	3.674660	4.318007e+00	4.791517	4.985487e+00	4.885055	4.544619e+00	4.020156	3.368262e+00	2.674443	2.063296e+00	1.597833	1.254869e+00	1.005227	8.197268e-01	0.672240	5.510228e-01	0.448568	3.573707e-01	0.313648	2.566674e-01	0.161269	9.021430e-02	0.050466	2.823091e-02	0.015792	
1281	16.145927	1.208649e+01	9.047685	6.772901e+00	5.070047	4.261419e+00	4.147300	4.055229e+00	3.600308	3.168671e+00	2.778659	2.446306e+00	2.184386	1.986417e+00	1.838209	1.739201e+00	1.756215	1.973277e+00	2.437041	3.084772e+00	3.796973	4.453411e+00	4.933857	5.125210e+00	5.013048	4.655011e+00	4.110383	3.439041e+00	2.728773	2.105024e+00	1.630877	1.282306e+00	1.029233	8.415783e-01	0.692429	5.698047e-01	0.466126	3.738154e-01	0.329555	2.664957e-01	0.168084	9.447589e-02	0.053103	2.984769e-02	0.016777	
1339	16.791474	1.258021e+01	9.425125	7.061326e+00	5.290362	4.448821e+00	4.330106	4.234238e+00	3.760519	3.310879e+00	2.904376	2.557876e+00	2.284843	2.078445e+00	1.923730	1.819851e+00	1.835744	2.058166e+00	2.535290	3.202093e+00	3.934782	4.608807e+00	5.099619	5.290107e+00	5.166122	4.788705e+00	4.220609	3.525171e+00	2.793149	2.152226e+00	1.666273	1.310184e+00	1.052668	8.624376e-01	0.711518	5.875861e-01	0.482931	3.898415e-01	0.345224	2.749535e-01	0.173753	9.789738e-02	0.055158	3.107784e-02	0.017510	
1398	17.452019	1.308646e+01	9.812930	7.358261e+00	5.517619	4.642347e+00	4.519753	4.419732e+00	3.925565	3.456833e+00	3.033551	2.673171e+00	2.389518	2.174980e+00	2.013366	1.903069e+00	1.914616	2.137029e+00	2.620059	3.297418e+00	4.042495	4.727899e+00	5.226242	5.417748e+00	5.288031	4.899666e+00	4.316982	3.604903e+00	2.856201	2.201151e+00	1.704851	1.341545e+00	1.079162	8.856322e-01	0.732288	6.065192e-01	0.500446	4.061900e-01	0.361032	2.848478e-01	0.180515	1.020675e-01	0.057712	3.263151e-02	0.018451	
1456	18.094142	1.357748e+01	10.188267	7.645071e+00	5.736707	4.828713e+00	4.701731	4.597984e+00	4.085263	3.598310e+00	3.157843	2.782941e+00	2.488830	2.267036e+00	2.099600	1.983635e+00	1.990800	2.211958e+00	2.698216	3.382392e+00	4.135734	4.828695e+00	5.331727	5.523051e+00	5.388401	4.992021e+00	4.399945	3.678785e+00	2.922169	2.260061e+00	1.757298	1.388047e+00	1.120173	9.215405e-01	0.763416	6.331192e-01	0.522698	4.242020e-01	0.376942	3.011123e-01	0.192065	1.094836e-01	0.062409	3.557540e-02	0.020279	
